name,street,housenumber,postcode,city,district_guess,lat,lon,is_chain,dist_to_kufstein_km,competitors_within_10km,nearest_competitor_km,website,phone
14Quadrat Augenoptik,,,,,,47.8562118,12.1275451,False,30.487479246872553,17,0.06362493160531611,https://14quadrat.de/,
Abele Optik,,,,,,47.8553101,12.1248122,False,30.408069567427813,17,0.040526665043122224,https://www.abele-optik.de/filialfinder/rosenheim,
Abele Optik,Theresienstraße,5,85049,Ingolstadt,,48.7642812,11.4236869,False,142.40740511811137,15,0.06284496014824174,,
Abele Optik,Laurinweg,11,85521,Ottobrunn,,48.0641648,11.6633475,False,65.35422868601358,59,0.14422043884292662,,
Abele Optik,Harderstraße,1,85049,Ingolstadt,,48.7653728,11.4233218,False,142.52957877486446,15,0.12429530734563271,,
Ace & Tate,Schellingstraße,19,80799,München,,48.1499069,11.5768597,False,76.84657247852181,150,0.04582372474937846,,
Ace & Tate,Gärtnerplatz,1,80469,München,,48.1318347,11.5766301,False,75.22236294892197,160,0.011072450405026368,,
Adam,Kirchenstraße,5,82327,Tutzing,,47.9098464,11.276724,False,75.80391714646896,0,10.879145914938295,,
Adler&Luchs,Ludwigstraße,95,84524,Neuötting,,48.2405542,12.6875919,False,82.75444186341124,5,0.034631129190181915,https://www.adlerundluchs.de/,+49 8671 70715
Aktiv Optik,Ludwigstraße,18,83435,Bad Reichenhall,,47.7240244,12.8786564,False,55.575231541527764,3,0.045538033352437036,,+49 8651 965944
Aktiv Optik,Untere Hauptstraße,37,85354,Freising,,48.4015923,11.7478345,False,96.18042178167423,9,0.1205541966032146,https://www.aktivoptik.de/filialen#!/l/freising/untere-hauptstrasse-37/35,+49 8161 787723
Ammersee Optik,Mühlfelder Straße,21,82211,Herrsching am Ammersee,,47.9963055,11.1754316,False,87.13722171117223,6,0.2638348226373713,,
Andre Augenoptik,Riederweg,13,85276,Pfaffenhofen a.d. Ilm,,48.5311426,11.5091027,False,116.17467263134863,5,0.13013977687611047,https://www.andreaugenoptik.de/,+49 8441 7 22 77
André Optik,Wasserburger Landstraße,264,81827,München,,48.1113366,11.7087795,False,67.93476865312637,67,0.5908474650967891,https://www.andre-optik.de,+49 89 4300013
Andy wolf,,,,,,48.1398639,11.5748129,False,76.02476535555016,155,0.0775591943376104,,
Anja Kolbe,,,,,,48.1132409,11.700481,False,68.43028140034798,96,0.061305638550821086,https://www.optik-trudering.de,+49 89 430 1077
Apollo,Willy-Brandt-Platz,5,81829,München,,48.1321597,11.6909099,True,70.60308999821139,122,0.06817984511492485,,
Apollo Optik Geretsried,Karl-Lederer-Platz,9,82538,Geretsried,,47.8750054,11.4658376,True,61.64362392723746,5,0.09639501534280157,https://www.filialen.apollo.de/bayern/geretsried/karl-lederer-platz-9.html,
Apollo-Optik,,,,,,48.5295745,11.5068536,True,116.08733596911341,5,0.1286423309875122,,
Apollo-Optik,Ludwigstraße,3,85049,Ingolstadt,,48.7643174,11.4247415,True,142.38087809273486,15,0.06958635098232191,https://www.apollo.de/filialen/ingolstadt/ludwigstr-3-7404,+498411260142;+498002765566
Apollo-Optik,Lenbachstraße,46,86529,Schrobenhausen,,48.5605308,11.2646206,True,127.66930874356167,2,0.047328897406445344,,
Apollo-Optik,Rotkreuzplatz,2,80634,München,,48.1525169,11.5333636,True,78.98086972247602,150,0.07627750773738712,,+49 89 13060484
Apollo-Optik,Stadtplatz,40,84453,Mühldorf am Inn,,48.2417518,12.5234066,True,77.89361584323044,7,0.041045502565648324,,
Apollo-Optik,Färberstraße,3,86633,Neuburg an der Donau,,48.734425,11.1824476,True,147.35294407275492,3,0.024455336114801194,,
Apollo-Optik,Hauptstraße,1,82256,Fürstenfeldbruck,,48.1770551,11.2554525,True,94.74707237911291,19,0.12928784675897545,https://www.apollo.de/,
Apollo-Optik,Morsestraße,1,85716,Unterschleißheim,,48.2909094,11.5703094,True,90.35861323323599,16,1.0958662543628794,https://www.apollo.de/,+498931605491
Apollo-Optik,Maximilianstraße,14,83278,Traunstein,,47.8679906,12.6451665,True,47.78004739610943,7,0.03567586719628635,,
Apollo-Optik,Bahnhofstraße,98A,82166,Gräfelfing,,48.1190251,11.4288355,True,81.1164253101832,68,0.05002902127846001,,
Apollo-Optik,Max-Weber-Platz,2,81675,München,,48.1352842,11.5976097,True,74.63146943541916,151,0.35418609105754123,,
Apollo-Optik,Schleißheimer Straße,506,80933,München,,48.212691,11.5633682,True,83.1921354514988,121,2.0281308604089623,https://www.apollo.de/filialen/muenchen/schleissheimer-str-506-7482,+49 89 31813620
Apollo-Optik,Bräuhausgasse,2,85435,Erding,,48.3070248,11.9075005,True,82.75786652722509,7,0.05629182347996708,https://filialen.apollo.de/bayern/erding/braeuhausgasse-2.html,+49 8122 7018723
Apollo-Optik,,,84478,,,48.2076738,12.4021312,True,71.61162352098678,7,0.08269148674775842,https://www.apollo.de/,
Apollo-Optik,Untere Hauptstraße,20,85354,Freising,,48.4012441,11.7460176,True,96.18774324783702,9,0.019337297048608988,https://www.apollo.de/filialen/freising/untere-hauptstr-20-7405,+49 8161 4965384
Apollo-Optik,Leopoldstraße,64,80802,München,,48.1598465,11.5859599,True,77.37085292290757,148,0.09249564446617228,,
Apollo-Optik,Marktstraße,34,83646,Bad Tölz,,47.7609149,11.5597055,True,49.55466804350294,4,0.039693661629478745,,
Apollo-Optik,Kaufingerstraße,12,80331,München,,48.1375847,11.5739182,True,75.85806359094522,158,0.04630642363737522,https://www.apollo.de/filialen/munchen/kaufingerstr-12-6039,+498933066610
Arabella Optik,,,,,,48.1509572,11.6202073,False,75.1399197138338,145,0.06460074147650445,,
Auge & Mode,Bergstraße,4,82131,Gauting,,48.0687515,11.3784593,False,79.85312680337469,26,0.03865749647697773,,
Auge und Brille,Hauptstraße,18,82140,Olching,,48.2089147,11.330427,False,93.41463085495609,23,0.7983065408605108,https://auge-und-brille.de/,+49 8142 6550889
Augenart,Sollner Straße,42,81479,München,,48.0781831,11.5256654,False,72.92366997723929,131,0.2985123974178976,https://www.augenart-muenchen.de/,
Augenblick,Schloßstraße,14a,82031,Grünwald,,48.0412144,11.5240419,False,69.96860367889941,37,0.09467879146986041,https://www.augenblick-gruenwald.de/,+49 89 64914730
Augenhaus Hartmann,,,,,,47.8402301,12.9819565,False,67.35517075064604,3,0.10387614304697178,,
Augenoptik Deuschle GmbH,Wolfratshauser Straße,204,81479,München,,48.0815507,11.5289828,False,73.04401761338687,144,0.21202423247696184,https://www.augenoptik-deuschle.de/,+49 89796785
Augenoptik Einwang,Raglovichstraße,2,,,,48.1597738,11.5407683,False,79.30061579717025,150,0.8026770465623675,https://www.optik-einwang.de/,+49 89 151333
Augenoptik Forscht Hörakustik,,,,,,48.9279315,11.4569202,False,158.47982451331023,0,11.782035585880207,,
Augenoptik Geppert,Theresienstraße,61,85399,Hallbergmoos,,48.3197722,11.7468036,False,87.65924798857615,15,6.183703798141559,https://www.augenoptik-geppert.de/,+49 811 2622
Augenoptik Heilmeier & Kassebaum,Marienplatz,13,86956,Schongau,,47.8113223,10.8970237,False,98.34528615293394,4,0.04884021710049505,,
Augenoptik Häckl GmbH Holzkirchen,Marktplatz,19,83607,Holzkirchen,,47.8774547,11.7011004,False,47.775368113586936,1,0.1172999443104932,,+4980244771380
Augenoptik Pfeiffer,Egerlandstraße,59,82538,Geretsried,,47.8758723,11.4658375,False,61.69403473634807,5,0.09639501534280157,https://www.augenoptikpfeiffer.de/,+49 8171 62020
Augenoptik Rauscher,Münchner Straße,42,82008,Unterhaching,,48.0719531,11.6063911,False,68.57065672531424,133,0.7664366672536563,,
Augenoptik Schmetterer,,,,,,47.8538508,12.3449334,False,32.906257640730495,3,0.1852748292064851,https://www.schmetterer.de,+49 8051 1444
Augenoptik Yvette Simon,,,,,,48.2070499,11.1604764,False,102.16675409288369,6,6.913901607005387,,
Augenoptik-Faust,,,82467,,,47.4941376,11.1107815,False,79.88151749358477,5,1.230570289920599,https://www.o-pal.de,+49 8821 942040
Augenoptik-Waurick,,,,,,47.4944514,11.0931895,False,81.18752496237862,5,0.08534141073536385,,
Augenoptiker Augenstern,Sternstraße,26,80538,München,,48.1402187,11.5912211,False,75.35273628544384,154,0.21146925612134165,,
Augenprojekt,Pollinger Straße,23,,,,48.1069828,11.2998914,False,87.0351971604574,26,0.26736047500388654,https://www.augenprojekt.de/,+498105777480
Bajohr,Wilhelmstraße,10,80801,München,,48.1598018,11.5832684,False,77.47931972770657,147,0.04226080154069362,,
Barbarino,,,,,,48.2429495,12.5220943,False,77.98543407198854,7,0.15331139094003093,,
Beltan Optik,Karwinskistraße,52,81247,München,,48.1683032,11.4655413,False,83.46268720696676,127,2.1422266342622978,https://beltanoptik.de,+49 89 8100 9884
Blickfang Optik,,,,,,48.7369176,11.1832495,False,147.56347382589348,3,0.21503349159921287,,
Blickpunkt,,,,,,47.9979518,11.3426403,False,76.91306270414748,6,0.07981069907103748,,
